Match Number,Round Number,Date,Location,Home Team,Away Team,Result
56,7,29/09/2024 14:30,Euroborg,FC Groningen,Go Ahead Eagles,0 - 1
57,7,29/09/2024 14:30,De Grolsch Veste,FC Twente,NAC Breda,1 - 0
59,7,29/09/2024 16:45,Mandemakers Stadion,RKC Waalwijk,Ajax,0 - 2
61,7,29/09/2024 20:00,AFAS Stadion,AZ,FC Utrecht,1 - 2
64,8,04/10/2024 20:00,Yanmar Stadion,Almere City FC,Willem II,0 - 1
70,8,05/10/2024 18:45,Rat Verlegh Stadion,NAC Breda,N.E.C. Nijmegen,1 - 0
67,8,05/10/2024 20:00,Philips Stadion,PSV,Sparta Rotterdam,2 - 1
71,8,05/10/2024 21:00,Stadion Galgenwaard,FC Utrecht,RKC Waalwijk,3 - 2
69,8,06/10/2024 12:15,De Adelaarshorst,Go Ahead Eagles,Heracles Almelo,4 - 1
65,8,06/10/2024 14:30,Abe Lenstra Stadion,sc Heerenveen,PEC Zwolle,1 - 1
72,8,06/10/2024 14:30,De Kuip,Feyenoord,FC Twente,2 - 1
68,8,06/10/2024 16:45,Johan Cruyff Arena,Ajax,FC Groningen,3 - 1
66,8,06/10/2024 20:00,Fortuna Sittard Stadion,Fortuna Sittard,AZ,1 - 0
73,9,19/10/2024 16:30,Het Kasteel,Sparta Rotterdam,Almere City FC,2 - 2
78,9,19/10/2024 18:45,AFAS Stadion,AZ,PSV,1 - 2
77,9,19/10/2024 20:00,Goffertstadion,N.E.C. Nijmegen,sc Heerenveen,3 - 0
81,9,19/10/2024 20:00,Mandemakers Stadion,RKC Waalwijk,FC Twente,2 - 2
79,9,19/10/2024 21:00,De Adelaarshorst,Go Ahead Eagles,Feyenoord,1 - 5
76,9,20/10/2024 12:15,Koning Willem II Stadion,Willem II,Fortuna Sittard,0 - 0
75,9,20/10/2024 14:30,Erve Asito,Heracles Almelo,Ajax,3 - 4
80,9,20/10/2024 14:30,Euroborg,FC Groningen,FC Utrecht,0 - 1
74,9,20/10/2024 16:45,MAC³PARK Stadion,PEC Zwolle,NAC Breda,1 - 2
85,10,25/10/2024 20:00,Yanmar Stadion,Almere City FC,N.E.C. Nijmegen,1 - 0
86,10,26/10/2024 16:30,Fortuna Sittard Stadion,Fortuna Sittard,FC Groningen,1 - 0
89,10,26/10/2024 18:45,Philips Stadion,PSV,PEC Zwolle,6 - 0
88,10,26/10/2024 20:00,Rat Verlegh Stadion,NAC Breda,RKC Waalwijk,4 - 1
84,10,26/10/2024 21:00,Abe Lenstra Stadion,sc Heerenveen,Sparta Rotterdam,2 - 0
90,10,27/10/2024 12:15,Stadion Galgenwaard,FC Utrecht,Feyenoord,0 - 2
82,10,27/10/2024 14:30,De Grolsch Veste,FC Twente,Heracles Almelo,5 - 0
87,10,27/10/2024 16:45,Johan Cruyff Arena,Ajax,Willem II,1 - 0
83,10,27/10/2024 20:00,AFAS Stadion,AZ,Go Ahead Eagles,2 - 2
97,11,02/11/2024 16:30,Koning Willem II Stadion,Willem II,FC Twente,0 - 1
91,11,02/11/2024 18:45,Erve Asito,Heracles Almelo,NAC Breda,2 - 0
93,11,02/11/2024 18:45,Johan Cruyff Arena,Ajax,PSV,3 - 2
96,11,02/11/2024 21:00,Fortuna Sittard Stadion,Fortuna Sittard,sc Heerenveen,3 - 0
99,11,02/11/2024 21:00,De Kuip,Feyenoord,AZ,3 - 2
98,11,03/11/2024 12:15,De Adelaarshorst,Go Ahead Eagles,PEC Zwolle,2 - 2
92,11,03/11/2024 14:30,Goffertstadion,N.E.C. Nijmegen,FC Groningen,6 - 0
95,11,03/11/2024 14:30,Het Kasteel,Sparta Rotterdam,FC Utrecht,1 - 4
94,11,03/11/2024 16:45,Mandemakers Stadion,RKC Waalwijk,Almere City FC,2 - 0
104,12,08/11/2024 20:00,Stadion Galgenwaard,FC Utrecht,Heracles Almelo,1 - 0
100,12,09/11/2024 16:30,Euroborg,FC Groningen,Sparta Rotterdam,1 - 0
105,12,09/11/2024 18:45,MAC³PARK Stadion,PEC Zwolle,Fortuna Sittard,3 - 1
102,12,09/11/2024 20:00,Rat Verlegh Stadion,NAC Breda,PSV,0 - 3
106,12,09/11/2024 21:00,Mandemakers Stadion,RKC Waalwijk,N.E.C. Nijmegen,0 - 3
108,12,10/11/2024 12:15,Yanmar Stadion,Almere City FC,Feyenoord,1 - 4
101,12,10/11/2024 14:30,Abe Lenstra Stadion,sc Heerenveen,Go Ahead Eagles,1 - 0
107,12,10/11/2024 14:30,De Grolsch Veste,FC Twente,Ajax,2 - 2
103,12,10/11/2024 16:45,AFAS Stadion,AZ,Willem II,1 - 2
114,13,23/11/2024 16:30,De Adelaarshorst,Go Ahead Eagles,Almere City FC,3 - 0
109,13,23/11/2024 18:45,Erve Asito,Heracles Almelo,RKC Waalwijk,2 - 2
115,13,23/11/2024 18:45,De Kuip,Feyenoord,sc Heerenveen,3 - 0
110,13,23/11/2024 21:00,Philips Stadion,PSV,FC Groningen,5 - 0
113,13,23/11/2024 21:00,Fortuna Sittard Stadion,Fortuna Sittard,FC Twente,1 - 2
117,13,24/11/2024 12:15,Goffertstadion,N.E.C. Nijmegen,FC Utrecht,1 - 2
111,13,24/11/2024 14:30,Koning Willem II Stadion,Willem II,NAC Breda,2 - 2
116,13,24/11/2024 14:30,Het Kasteel,Sparta Rotterdam,AZ,1 - 2
112,13,24/11/2024 16:45,Johan Cruyff Arena,Ajax,PEC Zwolle,2 - 0
119,14,29/11/2024 20:00,Abe Lenstra Stadion,sc Heerenveen,RKC Waalwijk,1 - 1
124,14,30/11/2024 16:30,Rat Verlegh Stadion,NAC Breda,Almere City FC,1 - 0
120,14,30/11/2024 18:45,Euroborg,FC Groningen,Willem II,2 - 0
121,14,30/11/2024 20:00,De Kuip,Feyenoord,Fortuna Sittard,1 - 1
123,14,30/11/2024 21:00,MAC³PARK Stadion,PEC Zwolle,Sparta Rotterdam,1 - 0
126,14,01/12/2024 12:15,Stadion Galgenwaard,FC Utrecht,PSV,2 - 5
118,14,01/12/2024 14:30,AFAS Stadion,AZ,Heracles Almelo,1 - 0
125,14,01/12/2024 14:30,De Grolsch Veste,FC Twente,Go Ahead Eagles,3 - 2
122,14,01/12/2024 16:45,Goffertstadion,N.E.C. Nijmegen,Ajax,1 - 2
134,15,06/12/2024 20:00,Philips Stadion,PSV,FC Twente,6 - 1
127,15,07/12/2024 16:30,De Adelaarshorst,Go Ahead Eagles,N.E.C. Nijmegen,5 - 0
131,15,07/12/2024 18:45,Het Kasteel,Sparta Rotterdam,NAC Breda,0 - 2
130,15,07/12/2024 20:00,Mandemakers Stadion,RKC Waalwijk,Feyenoord,2 - 3
133,15,07/12/2024 21:00,Erve Asito,Heracles Almelo,Fortuna Sittard,2 - 2
135,15,08/12/2024 12:15,Euroborg,FC Groningen,PEC Zwolle,0 - 0
128,15,08/12/2024 14:30,Koning Willem II Stadion,Willem II,sc Heerenveen,1 - 2
129,15,08/12/2024 14:30,AFAS Stadion,AZ,Ajax,2 - 1
132,15,08/12/2024 16:45,Yanmar Stadion,Almere City FC,FC Utrecht,1 - 3
143,16,13/12/2024 20:00,MAC³PARK Stadion,PEC Zwolle,Willem II,0 - 1
137,16,14/12/2024 18:45,Abe Lenstra Stadion,sc Heerenveen,PSV,1 - 0
141,16,14/12/2024 20:00,Fortuna Sittard Stadion,Fortuna Sittard,RKC Waalwijk,3 - 2
139,16,14/12/2024 21:00,De Kuip,Feyenoord,Heracles Almelo,5 - 2
144,16,15/12/2024 12:15,Stadion Galgenwaard,FC Utrecht,Go Ahead Eagles,3 - 3
136,16,15/12/2024 14:30,Goffertstadion,N.E.C. Nijmegen,Sparta Rotterdam,1 - 1
140,16,15/12/2024 14:30,De Grolsch Veste,FC Twente,FC Groningen,2 - 0
138,16,15/12/2024 16:45,Johan Cruyff Arena,Ajax,Almere City FC,3 - 0
142,16,15/12/2024 20:00,Rat Verlegh Stadion,NAC Breda,AZ,1 - 2
147,17,20/12/2024 20:00,Mandemakers Stadion,RKC Waalwijk,PEC Zwolle,1 - 1
151,17,21/12/2024 16:30,De Adelaarshorst,Go Ahead Eagles,NAC Breda,2 - 1
153,17,21/12/2024 18:45,Yanmar Stadion,Almere City FC,sc Heerenveen,3 - 0
146,17,21/12/2024 20:00,AFAS Stadion,AZ,FC Twente,1 - 0
150,17,22/12/2024 12:15,Het Kasteel,Sparta Rotterdam,Ajax,0 - 2
145,17,22/12/2024 14:30,Philips Stadion,PSV,Feyenoord,3 - 0
152,17,22/12/2024 14:30,Stadion Galgenwaard,FC Utrecht,Fortuna Sittard,2 - 5
149,17,22/12/2024 16:45,Koning Willem II Stadion,Willem II,N.E.C. Nijmegen,4 - 1
148,17,28/01/2025 20:00,Erve Asito,Heracles Almelo,FC Groningen,1 - 1
